Country,Total_Receipts,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Medical_Care,Miscellaneous
East Asia,173385.37,43454.06,10615.839999999998,5861.4400000000005,53221.51,36720.57,15560.159999999998,5379.4400000000005,2572.35
Asean,63176.12,16599.97,2700.54,1026.49,18809.69,13634.38,5152.36,4468.6,784.0899999999998
Brunei,167.03999999999996,57.98,11.5,3.92,43.49999999999999,31.630000000000003,14.15,0.44,3.92
Cambodia,10023.97,2892.07,330.78000000000003,103.62,1821.8,2270.4,725.36,1740.47,139.47
Indonesia,2644.0100000000007,752.19,48.970000000000006,60.4,883.02,538.8399999999999,319.93,9.06,31.6
Laos,13435.610000000002,4343.750000000001,586.13,143.32,3187.6600000000003,2644.84,882.6400000000001,1556.12,91.15
Malaysia,17492.989999999998,3665.9,858.3399999999998,258.86,7140.01,3937.63,1295.16,149.64,187.45
Myanmar,2630.88,807.7800000000002,45.67999999999999,28.31,729.08,456.83,204.21,331.80999999999995,27.18
Philippines,5870.39,1359.12,246.09,148.86,1669.4,1157.17,651.5,533.63,104.62
Singapore,4442.339999999999,1002.87,346.61999999999995,79.03999999999998,1396.37,1030.08,478.3200000000001,12.62,96.41999999999999
Vietnam,6468.89,1718.31,226.43,200.16,1938.85,1566.96,581.09,134.81,102.28
China,69719.61,20248.270000000004,4288.8,3662.86,19755.96,13334.590000000002,6905.51,352.66,1170.96
Hong Kong,5578.619999999999,1195.04,426.74,96.69,1892.88,1342.35,507.2799999999999,27.15,90.49000000000001
Japan,15044.15,1675.4,1465.98,373.17,5827.39,3913.72,1243.38,359.31,185.8
Korea,13131.729999999998,2129.9,1242.9700000000005,446.49,4745.57,2993.98,1187.9799999999998,135.55,249.29
Taiwan,5411.47,1274.52,379.86,226.22,1773.34,1212.61,444.86000000000007,24.91,75.15
Others in East Asia,1323.6699999999996,330.96,110.95,29.52,416.68,288.93999999999994,118.79,11.26,16.57
Europe,132526.15999999997,16709.75,10182.93,4108.42,48308.130000000005,33684.46,16346.580000000002,1465.62,1720.27
Austria,2410.53,283.59,195.73,90.3,907.05,599.9,271.28000000000003,21.58,41.1
Belgium,2380.4,415.65,152.88,71.93,797.22,598.5999999999999,276.31,35.72,32.09
Denmark,5631.200000000001,819.25,500.06,148.03,2079.11,1417.11,589.07,22.75,55.82000000000001
Finland,5021.13,745.18,356.54,123.55,1751.2,1347.11,574.22,33.31,90.02
France,14764.920000000002,1385.02,1062.11,360.86,6350.99,3185.5200000000004,2014.98,261.76,143.68
Germany,12859.52,1149.62,950.24,404.0,5249.27,3160.15,1668.79,127.45,150.0
Italy,3817.6600000000008,441.56,272.48,130.72,1319.98,985.62,499.65,106.28,61.370000000000005
Netherlands,3890.9500000000007,427.46,292.04,150.2,1317.39,1111.21,493.87,35.34,63.44
Norway,3959.64,607.3999999999999,372.03,128.4,1239.85,1021.71,473.53,46.6,70.12
Russia,34612.770000000004,5322.709999999999,2800.52,1218.55,11921.13,8795.880000000001,3903.21,257.8,392.97
Spain,1668.06,152.61,145.73,73.13,604.35,398.51,244.5,29.74,19.49
Sweden,7274.18,940.93,667.8499999999999,155.88,2353.9,2211.08,814.24,58.7,71.6
Switzerland,4585.35,513.0400000000001,401.03,146.74999999999997,1714.79,1139.74,561.14,50.31999999999999,58.53999999999999
United Kingdom,15478.36,1523.93,966.61,375.37,5753.719999999999,4293.55,2040.99,277.36,246.83
East Europe,10863.41,1574.1,787.3800000000001,381.96,3833.24,2543.85,1500.5600000000002,75.68,166.64
Others in Europe,3308.08,407.69999999999993,259.70000000000005,148.79,1114.94,874.92,420.24,25.23,56.56
The Americas,17795.230000000003,1976.94,1121.84,780.55,6630.82,4047.8,2771.29,175.79,290.20000000000005
Argentina,645.8499999999999,80.64999999999998,53.52,19.95,197.14,196.55,86.59,4.81,6.64
Brazil,999.02,156.23,81.99000000000001,48.8,331.5,228.29,135.8,6.24,10.170000000000002
