หมายเหตุ : รายได้จากการท่องเที่ยว รวมทั้งรายได้จากนักท่องเที่ยว (Business Leisure) ที่เดินทางมาประเทศไทย ปี 2564 และนักท่องเที่ยวชาวต่างชาติที่เดินทางมาประเทศไทยก่อนปี 2564 และมีการเก็บค่าใช้จ่ายในหมวด Medical Care เนื่องจากสถานการณ์โควิด-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,
Grand Total,,,,,,,,,,Inbound,,,,,,,,,,Stock,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht
Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-
of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous
East Asia,"31,314.18","4,756.69",398.90,27.44,"10,753.39","10,777.32","2,330.96","2,204.46",65.02,East Asia,"22,792.05","3,771.77",369.44,25.30,"8,007.15","7,653.54","1,411.13","1,507.34",46.38,East Asia,"8,522.13",984.92,29.46,2.14,"2,746.24","3,123.78",919.83,697.12,18.64
Asean,"7,881.53","1,155.12",190.12,1.79,"2,793.00","2,731.92",649.63,345.11,14.84,Asean,"5,533.46",875.25,170.75,1.79,"2,071.63","1,846.63",335.04,225.22,7.15,Asean,"2,348.07",279.87,19.37,0.00,721.37,885.29,314.59,119.89,7.69
Brunei,10.45,1.09,0.04,0.00,4.80,3.83,0.49,0.20,0.00,Brunei,8.10,0.92,0.04,0.00,3.51,3.17,0.32,0.14,0.00,Brunei,2.35,0.17,0.00,0.00,1.29,0.66,0.17,0.06,0.00
Cambodia,929.78,92.11,110.89,0.00,292.72,336.80,44.16,52.66,0.44,Cambodia,800.00,82.24,110.88,0.00,241.51,298.99,29.17,36.77,0.44,Cambodia,129.78,9.87,0.01,0.00,51.21,37.81,14.99,15.89,0.00
Indonesia,904.26,208.53,13.44,0.31,336.80,261.68,51.33,31.97,0.20,Indonesia,829.91,204.50,13.42,0.31,307.98,233.34,41.98,28.18,0.20,Indonesia,74.35,4.03,0.02,0.00,28.82,28.34,9.35,3.79,0.00
Laos,205.37,25.39,1.46,0.05,74.18,78.89,17.52,7.27,0.61,Laos,132.87,19.29,1.46,0.05,49.64,49.86,8.52,3.76,0.29,Laos,72.50,6.10,0.00,0.00,24.54,29.03,9.00,3.51,0.32
Malaysia,976.93,93.49,8.12,0.22,381.15,395.00,69.29,29.51,0.15,Malaysia,843.77,78.49,8.11,0.22,346.19,336.13,51.78,22.70,0.15,Malaysia,133.16,15.00,0.01,0.00,34.96,58.87,17.51,6.81,0.00
Myanmar,"1,732.03",281.09,12.57,1.01,681.61,519.99,123.09,109.58,3.09,Myanmar,"1,565.05",263.65,12.57,1.01,626.36,454.67,102.84,101.59,2.36,Myanmar,166.98,17.44,0.00,0.00,55.25,65.32,20.25,7.99,0.73
