Country,No_of_Arrivals,Length_of_Stay_Days,Spending_Per_Day_Baht,Spending_Per_Day_USD,Total_Receipts_Mil_Baht,Total_Receipts_Mil_USD
Asia and the Pacific,25820618.0,7.36,5329.93,151.01,1012919.95,28698.52
South-East Asia,10660779.0,6.25,4620.17,130.9,307641.05,8716.23
Brunei,16188.0,6.83,6591.96,186.77,728.78,20.65
Cambodia,553060.0,7.35,5149.98,145.91,20923.04,592.8
Indonesia,876610.0,6.85,4865.12,137.84,29218.46,827.83
Laos,1124202.0,9.72,2748.32,77.87,30035.16,850.97
Malaysia,4952078.0,4.35,4870.46,137.99,104938.09,2973.15
Myanmar,546629.0,11.83,3856.73,109.27,24950.3,706.9
Philippines,598124.0,7.06,4704.07,133.28,19856.39,562.58
Singapore,1009640.0,6.71,6357.94,180.14,43100.38,1221.14
Vietnam,984248.0,6.57,5243.19,148.55,33890.45,960.2
North-East Asia,11706722.0,7.99,6000.4,170.01,561442.55,15907.05
China,6733162.0,8.52,6365.02,180.34,365019.4,10341.9
Hong Kong (China),876076.0,7.74,6700.24,189.83,45404.29,1286.42
Japan,1050904.0,7.92,4933.46,139.78,41074.23,1163.73
Korea (Republic of),1868945.0,6.74,5253.07,148.83,66189.93,1875.32
Macao (China),55380.0,6.58,5035.02,142.65,1835.45,52.0
Mongolia,32345.0,9.98,5072.9,143.73,1638.25,46.42
Taiwan,1089910.0,7.18,5144.47,145.76,40281.0,1141.26
South Asia,2573928.0,7.49,4939.4,139.95,95253.85,2698.78
Bangladesh,142268.0,8.62,5542.97,157.05,6796.52,192.56
Bhutan,21581.0,8.87,3575.92,101.31,684.84,19.4
India,2129149.0,7.14,5032.4,142.58,76554.35,2168.97
Iran,64962.0,10.42,4703.69,133.27,3183.56,90.2
Maldives,28436.0,10.55,3922.58,111.14,1176.23,33.33
Nepal,43765.0,8.87,4091.57,115.92,1587.87,44.99
Pakistan,75114.0,9.89,4012.63,113.69,2980.36,84.44
Sri Lanka,68653.0,7.97,4186.53,118.61,2290.12,64.88
Other in Asia,1539.0,10.16,3710.19,105.12,58.02,1.64
Oceania,877650.0,12.07,4582.43,129.83,48524.48,1374.82
Australia,775010.0,11.97,4449.52,126.07,41266.35,1169.18
New Zealand,96733.0,12.96,5624.54,159.36,7052.3,199.81
Other in Oceania,5907.0,10.34,3368.94,95.45,205.83,5.83
Europe,7338822.0,15.7,3903.89,110.61,449882.46,12746.28
Northern Europe,1598950.0,16.87,3920.12,111.07,105737.68,2995.81
Denmark,138278.0,17.63,4070.27,115.32,9920.69,281.08
Finland,87528.0,17.36,4081.27,115.63,6202.41,175.73
Iceland,4678.0,21.29,3933.93,111.46,391.87,11.1
Ireland,80350.0,16.13,4309.09,122.09,5585.06,158.24
Norway,109731.0,19.06,3710.04,105.11,7759.25,219.84
Sweden,212523.0,19.49,3537.1,100.21,14652.16,415.13
United Kingdom,965862.0,15.93,3979.2,112.74,61226.24,1734.69
Western Europe,2260701.0,17.03,3527.17,99.93,135757.88,3846.36
Austria,107074.0,16.2,3944.57,111.76,6841.94,193.85
Belgiun,108046.0,16.85,3732.13,105.74,6795.38,192.53
France,720806.0,15.82,3648.79,103.38,41604.05,1178.75
Germany,873364.0,17.92,3332.58,94.42,52150.64,1477.56
Luxembourg,5898.0,16.17,3790.99,107.41,361.55,10.24
Netherlands,261467.0,17.76,3518.1,99.68,16336.24,462.85
Switzerland,184046.0,17.08,3710.97,105.14,11668.08,330.59
Central/Eastern Europe,2483979.0,14.28,4060.8,115.05,144080.69,4082.16
Belarus,20564.0,15.17,3506.29,99.34,1093.58,30.98
Bulgaria,17259.0,12.58,3562.2,100.93,773.61,21.92
Czech Republic,59615.0,15.79,3838.78,108.76,3613.46,102.38
Estonia,17293.0,16.55,3678.96,104.23,1053.09,29.84
Hungary,36945.0,14.51,3673.59,104.08,1969.7,55.81
Kazakhstan,195089.0,10.22,3863.39,109.46,7700.12,218.16
Kyrgyzstan,12007.0,10.55,3030.13,85.85,383.81,10.87
Latvia,11369.0,15.46,3743.42,106.06,658.16,18.65
Lithuania,23481.0,16.6,4728.39,133.97,1842.52,52.2
