Country,Total_Receipts,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Miscellaneous
Asia and the Pacific,1012919.95,240425.56,82274.37,33623.3,315847.59,214964.6,101485.93,24298.6
South-East Asia,307641.05,80252.87,24176.35,7916.21,85635.01,65770.89,30339.02,13550.7
Brunei,728.78,242.17,35.97,11.92,192.5,139.42,68.11,38.69
Cambodia,20923.04,4962.04,1327.9,274.6,5220.35,3902.53,1954.47,3281.15
Indonesia,29218.46,8416.48,1657.06,508.57,10351.44,5192.16,2674.56,418.19
Laos,30035.16,10043.1,1940.52,716.92,6195.59,6309.34,2947.34,1882.35
Malaysia,104938.09,27393.51,11649.42,3624.2,25034.6,23771.99,10549.9,2914.47
Myanmar,24950.3,6287.72,1389.15,486.04,6446.07,4508.96,2292.37,3539.99
Philippines,19856.39,5207.21,1252.66,983.13,6409.59,3759.76,2083.28,160.76
Singapore,43100.38,8386.46,2750.4,550.43,15836.02,10459.17,4244.51,873.39
Vietnam,33890.45,9314.18,2173.27,760.4,9948.85,7727.56,3524.48,441.71
North-East Asia,561442.55,134123.2,44745.04,20195.63,180546.25,120272.26,55783.08,5777.09
China,365019.4,95182.52,25933.65,14943.61,111681.85,77906.61,36726.33,2644.83
Hong Kong (China),45404.29,11265.69,5669.03,1036.43,13312.36,9882.77,3958.17,279.84
Japan,41074.23,7523.39,2613.22,1374.43,15505.59,8774.34,4430.13,853.13
Korea (Republic of),66189.93,11012.72,6530.44,1427.9,24835.16,15007.72,6143.01,1232.98
Macao (China),1835.45,289.56,90.58,22.05,655.35,405.14,370.42,2.35
Mongolia,1638.25,502.17,109.2,105.12,551.69,199.78,163.2,7.09
Taiwan,40281.0,8347.15,3798.92,1286.09,14004.25,8095.9,3991.82,756.87
South Asia,95253.85,19264.24,9578.84,3716.3,31798.34,18864.86,10470.79,1560.48
Bangladesh,6796.52,1849.52,423.21,188.6,2042.21,1174.93,745.12,372.93
Bhutan,684.84,160.1,15.47,7.93,276.78,162.9,61.66,0.0
India,76554.35,14042.48,8476.09,3277.38,26018.78,15134.27,8477.24,1128.11
Iran,3183.56,907.64,219.6,135.32,937.06,609.45,354.08,20.41
Maldives,1176.23,377.99,34.93,16.49,388.03,244.1,108.16,6.53
Nepal,1587.87,326.69,109.28,29.21,469.0,421.82,217.02,14.85
Pakistan,2980.36,744.99,226.89,29.17,961.71,719.25,285.6,12.75
Sri Lanka,2290.12,854.83,73.37,32.2,704.77,398.14,221.91,4.9
Other in Asia,58.02,12.55,1.53,3.38,22.86,11.06,6.64,0.0
Oceania,48524.48,6772.7,3772.61,1791.78,17845.13,10045.53,4886.4,3410.33
Australia,41266.35,5465.82,3220.76,1438.88,15243.34,8802.59,4087.29,3007.67
New Zealand,7052.3,1258.13,546.87,349.46,2523.45,1196.97,775.33,402.09
Other in Oceania,205.83,48.75,4.98,3.44,78.34,45.97,23.78,0.57
Europe,449882.46,60183.13,27157.53,15406.59,181812.08,104657.23,51897.03,8768.87
Northern Europe,105737.68,12892.73,6078.07,3383.39,43447.22,26302.02,12034.53,1599.72
Denmark,9920.69,1062.71,581.91,177.85,4322.59,2492.93,1174.38,108.32
Finland,6202.41,1307.75,316.2,70.09,2292.11,1497.36,609.18,109.72
Iceland,391.87,80.05,27.61,13.27,127.03,106.14,37.77,0.0
Ireland,5585.06,589.64,488.0,234.82,2361.19,1125.41,766.26,19.74
Norway,7759.25,1204.28,535.84,182.38,2942.59,1745.39,837.34,311.43
Sweden,14652.16,1848.03,591.12,234.4,6482.27,3614.26,1684.36,197.72
United Kingdom,61226.24,6800.27,3537.39,2470.58,24919.44,15720.53,6925.24,852.79
Western Europe,135757.88,15512.96,8870.46,4583.79,56209.64,31700.69,17263.88,1616.46
Austria,6841.94,1022.16,377.55,270.39,2746.75,1542.79,820.66,61.64
Belgiun,6795.38,1012.2,537.86,177.45,2468.63,1613.16,819.69,166.39
France,41604.05,5017.84,2718.29,1279.35,17354.91,9464.6,5389.99,379.07
Germany,52150.64,5075.49,3447.35,1759.24,22738.4,11746.25,6653.56,730.35
Luxembourg,361.55,40.43,21.04,7.31,147.23,96.64,47.82,1.08
Netherlands,16336.24,1991.61,1179.73,773.37,5913.14,3989.35,2293.89,195.15
Switzerland,11668.08,1353.23,588.64,316.68,4840.58,3247.9,1238.27,82.78
Central/Eastern Europe,144080.69,23263.04,8643.21,5274.91,56491.81,31471.95,14814.73,4121.04
Belarus,1093.58,188.65,42.04,13.55,464.82,267.53,116.99,0.0
Bulgaria,773.61,81.83,50.82,6.05,327.99,179.21,123.53,4.18
Czech Republic,3613.46,220.56,137.49,100.71,1546.68,882.47,504.18,221.37
Estonia,1053.09,240.91,54.22,11.96,395.08,204.31,130.29,16.32
Hungary,1969.7,307.31,124.26,60.0,577.22,363.63,305.31,231.97
Kazakhstan,7700.12,1286.02,482.15,159.85,3096.24,1661.37,894.98,119.51
Kyrgyzstan,383.81,92.28,16.67,1.99,153.42,85.03,34.42,0.0
Latvia,658.16,134.32,12.88,2.71,362.85,107.22,38.18,0.0
Lithuania,1842.52,138.07,78.43,26.26,1156.51,267.39,170.23,5.63
Poland,12441.69,1410.15,503.79,287.04,4642.74,2052.72,1681.83,1863.42
