Country,Total_Expenditure,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Miscellaneous
Asia and the Pacific,271702.61,41934.75,14972.43,20573.6,69947.85,86853.38,33842.28,3578.32
South-East Asia,93267.63,8803.38,6123.07,8363.9,23569.16,32199.28,12819.24,1389.6
Brunei,92.03,3.45,0.59,0.52,29.29,37.16,20.98,0.04
Cambodia,13482.36,886.21,1375.35,679.31,3518.84,4541.67,1999.28,481.7
Indonesia,2275.17,150.7,76.57,65.75,635.86,746.89,534.67,64.73
Laos,21167.99,1387.01,1507.57,2048.56,5947.58,7308.11,2767.91,201.25
Malaysia,33686.81,2978.41,1856.98,3281.93,7672.85,12421.49,5025.0,450.15
Myanmar,708.61,55.9,44.23,74.91,202.0,236.85,86.26,8.46
Philippines,1010.99,124.0,56.7,88.82,307.71,277.17,152.27,4.32
Singapore,12410.03,1959.03,781.45,1226.1,2961.29,4361.71,1010.67,109.78
Vietnam,8433.64,1258.67,423.63,898.0,2293.74,2268.23,1222.2,69.17
North-East Asia,154049.32,30132.76,7671.74,11024.46,39223.51,46295.93,17753.1,1947.82
China,62738.4,10949.05,2877.11,4644.71,16864.68,17650.16,8691.79,1060.9
Hong Kong (China),14303.81,2964.6,900.09,1139.64,3481.15,4437.55,1296.76,84.02
Japan,47023.19,10352.42,2147.08,3365.83,11869.3,13818.47,5136.07,334.02
Korea (Republic of),15910.83,2865.23,1006.08,1055.3,3531.01,5688.92,1433.12,331.17
Macao (China),1065.21,156.48,0.0,105.9,385.61,303.32,86.64,27.26
Mongolia,43.99,4.72,5.51,2.14,15.62,13.58,2.42,0.0
Taiwan Province of China,12963.89,2840.26,735.87,710.94,3076.14,4383.93,1106.3,110.45
South Asia,14260.1,1871.69,614.37,994.41,4434.64,4292.79,1889.04,163.16
Bangladesh,851.71,212.03,6.2,58.12,217.72,222.14,124.7,10.8
Bhutan,186.98,21.77,10.41,22.31,52.28,55.15,22.91,2.15
India,7409.03,1032.75,230.27,544.97,2272.47,2257.13,964.87,106.57
Iran,1156.58,154.04,118.52,44.46,269.34,338.7,227.4,4.12
Maldives,688.31,34.35,25.75,17.19,287.42,270.38,49.97,3.25
Nepal,2833.64,374.48,202.05,156.07,988.66,677.15,419.66,15.57
Pakistan,626.22,17.18,5.7,135.55,189.98,218.98,38.77,20.06
Sri Lanka,507.63,25.09,15.47,15.74,156.77,253.16,40.76,0.64
Other in Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,10125.56,1126.92,563.25,190.83,2720.54,4065.38,1380.9,77.74
Australia,8932.88,940.8,474.36,156.69,2433.36,3659.9,1198.8,68.97
