Nationality,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024,YTD_2024,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,YTD_2023,Jan_Change,Feb_Change,Mar_Change,Apr_Change,May_Change,Jun_Change,Jul_Change,Aug_Change,Sep_Change,Oct_Change,Nov_Change,Dec_Change,YTD_Change
Asia and the Pacific,1955313.0,2319923.0,2063087.0,2069461.0,2137118.0,2197566.0,2369020.0,2304928.0,2013906.0,1952024.0,2075472.0,2362800.0,25820618.0,1281532.0,1277199.0,1506054.0,1615515.0,1595745.0,1805515.0,1884948.0,1918315.0,1687354.0,1613854.0,1773401.0,2218326.0,20177758.0,52.58,81.64,36.99,28.1,33.93,21.71,25.68,20.15,19.35,20.95,17.03,6.51,27.97
South-East Asia,735661.0,944998.0,817836.0,859777.0,944514.0,980085.0,967013.0,883873.0,887356.0,825721.0,837314.0,976631.0,10660779.0,664990.0,631430.0,746297.0,793741.0,805437.0,912273.0,852955.0,910185.0,822499.0,766137.0,853406.0,1062930.0,9822280.0,10.63,49.66,9.59,8.32,17.27,7.43,13.37,-2.89,7.89,7.78,-1.89,-8.12,8.54
Brunei,1142.0,1328.0,996.0,1063.0,1155.0,1246.0,1339.0,1921.0,1025.0,1294.0,1409.0,2270.0,16188.0,748.0,848.0,754.0,935.0,1065.0,1005.0,1198.0,1551.0,988.0,984.0,1426.0,2632.0,14134.0,52.67,56.6,32.1,13.69,8.45,23.98,11.77,23.86,3.74,31.5,-1.19,-13.75,14.53
Cambodia,47963.0,45404.0,46499.0,42732.0,46384.0,47125.0,49135.0,46242.0,43436.0,43590.0,45367.0,49183.0,553060.0,46235.0,41791.0,45202.0,45687.0,51160.0,47414.0,47878.0,56265.0,48352.0,47590.0,52138.0,53996.0,583708.0,3.74,8.65,2.87,-6.47,-9.34,-0.61,2.63,-17.81,-10.17,-8.41,-12.99,-8.91,-5.25
Indonesia,70785.0,77579.0,63162.0,74499.0,75162.0,80154.0,74541.0,66911.0,65857.0,66816.0,74591.0,86553.0,876610.0,45410.0,46915.0,53067.0,63952.0,62203.0,72061.0,71526.0,63152.0,65709.0,64554.0,71481.0,82088.0,762118.0,55.88,65.36,19.02,16.49,20.83,11.23,4.22,5.95,0.23,3.5,4.35,5.44,15.02
Laos,102319.0,100613.0,105165.0,95010.0,104273.0,111412.0,118503.0,82791.0,79490.0,67865.0,85555.0,71206.0,1124202.0,85353.0,56042.0,58222.0,67930.0,77328.0,78382.0,83014.0,84275.0,78996.0,82985.0,78147.0,88727.0,919401.0,19.88,79.53,80.63,39.86,34.85,42.14,42.75,-1.76,0.63,-18.22,9.48,-19.75,22.28
Malaysia,321704.0,501120.0,345750.0,401282.0,442550.0,423554.0,427863.0,405752.0,472899.0,402575.0,354892.0,452137.0,4952078.0,288745.0,305367.0,362070.0,401394.0,373922.0,408356.0,371200.0,438556.0,388197.0,348403.0,392969.0,547243.0,4626422.0,11.41,64.1,-4.51,-0.03,18.35,3.72,15.26,-7.48,21.82,15.55,-9.69,-17.38,7.04
Myanmar,35742.0,39616.0,51358.0,56698.0,47830.0,43701.0,44547.0,41702.0,38354.0,43317.0,43725.0,60039.0,546629.0,30764.0,22405.0,27478.0,33737.0,32369.0,33063.0,34698.0,32666.0,32124.0,34579.0,34206.0,46045.0,394134.0,16.18,76.82,86.91,68.06,47.76,32.17,28.38,27.66,19.39,25.27,27.83,30.39,38.69
Philippines,35418.0,37911.0,42504.0,43856.0,44695.0,57067.0,59361.0,53721.0,46279.0,56008.0,61551.0,59753.0,598124.0,27440.0,27540.0,33678.0,32915.0,35865.0,46115.0,46350.0,43784.0,38775.0,40895.0,43514.0,44380.0,461251.0,29.07,37.66,26.21,33.24,24.62,23.75,28.07,22.7,19.35,36.96,41.45,34.64,29.67
Singapore,65188.0,66414.0,83489.0,62938.0,82219.0,105202.0,75176.0,84267.0,72993.0,79144.0,100968.0,131642.0,1009640.0,69106.0,60792.0,83250.0,62845.0,79864.0,115636.0,75307.0,76697.0,87296.0,78386.0,109508.0,128737.0,1027424.0,-5.67,9.25,0.29,0.15,2.95,-9.02,-0.17,9.87,-16.38,0.97,-7.8,2.26,-1.73
