Region,Province,Occupancy_Rate_2567R,Occupancy_Rate_2566R,Occupancy_Rate_Change,Guests_2567R,Guests_2566R,Guests_Change,Total_Visitors_2567R,Total_Visitors_2566R,Total_Visitors_Change,Thai_Visitors_2567R,Thai_Visitors_2566R,Thai_Visitors_Change,Foreign_Visitors_2567R,Foreign_Visitors_2566R,Foreign_Visitors_Change,Revenue_2567R,Revenue_2566R,Revenue_Change,Revenue_Thai_2567R,Revenue_Thai_2566R,Revenue_Thai_Change,Revenue_Foreign_2567R,Revenue_Foreign_2566R,Revenue_Foreign_Change
ภาคกลาง,กรุงเทพมหานคร,78.88,76.05,2.83,34802604.0,31783492.0,9.5,58804272.0,55867187.0,5.26,31709748.0,31887208.0,-0.56,27094524.0,23979979.0,12.99,942193.14,856304.07,10.03,272290.73,260682.78,4.45,669902.41,595621.29,12.47
ภาคกลาง,กาญจนบุรี,67.28,63.09,4.19,3672257.0,3419392.0,7.4,15006038.0,14315333.0,4.82,14587708.0,13994472.0,4.24,418330.0,320861.0,30.38,36563.95,34529.39,5.89,34733.02,33098.07,4.94,1830.93,1431.32,27.92
ภาคกลาง,นครปฐม,56.73,50.37,6.36,975038.0,918017.0,6.21,4698158.0,3885846.0,20.9,4619357.0,3822016.0,20.86,78801.0,63830.0,23.45,7784.35,6087.4,27.88,7590.31,5938.83,27.81,194.04,148.57,30.61
ภาคกลาง,ประจวบคีรีขันธ์,71.0,71.18,-0.18,5855252.0,5643495.0,3.75,11313134.0,11216756.0,0.86,10556810.0,10660268.0,-0.97,756324.0,556488.0,35.91,51697.81,45698.73,13.13,43488.3,39822.85,9.2,8209.51,5875.88,39.72
ภาคกลาง,เพชรบุรี,67.9,67.08,0.82,3841570.0,3956970.0,-2.92,10695183.0,10594465.0,0.95,10412850.0,10402612.0,0.1,282333.0,191853.0,47.16,35728.03,32718.65,9.2,33384.86,31183.72,7.06,2343.17,1534.93,52.66
ภาคกลาง,ราชบุรี,61.51,54.57,6.94,1157951.0,1024341.0,13.04,3089469.0,2408904.0,28.25,2954322.0,2290957.0,28.96,135147.0,117947.0,14.58,6279.79,4538.11,38.38,5954.01,4257.57,39.85,325.78,280.54,16.13
ภาคกลาง,สมุทรปราการ,54.75,49.78,4.97,1372491.0,1168573.0,17.45,4141005.0,3465508.0,19.49,3110402.0,2634384.0,18.07,1030603.0,831124.0,24.0,8926.85,7117.44,25.42,5565.86,4515.75,23.25,3360.99,2601.69,29.18
ภาคกลาง,สมุทรสงคราม,58.46,56.45,2.01,787751.0,775147.0,1.63,5610458.0,5925877.0,-5.32,5444971.0,5780793.0,-5.81,165487.0,145084.0,14.06,7555.23,7324.09,3.16,7271.45,7085.16,2.63,283.78,238.93,18.77
ภาคกลาง,สมุทรสาคร,47.15,41.99,5.16,348917.0,347184.0,0.5,1559280.0,1246176.0,25.13,1545883.0,1234466.0,25.23,13397.0,11710.0,14.41,2739.53,2174.73,25.97,2709.25,2149.76,26.03,30.28,24.97,21.27
ภาคกลาง,ชัยนาท,51.66,47.75,3.91,271476.0,240175.0,13.03,1214902.0,1065238.0,14.05,1207716.0,1058594.0,14.09,7186.0,6644.0,8.16,1966.99,1686.8,16.61,1953.49,1675.88,16.57,13.5,10.92,23.63
