Region,Province,Occupancy_Rate_2568P,Occupancy_Rate_2567,Occupancy_Rate_Change,Guests_2568P,Guests_2567,Guests_Change,Total_Visitors_2568P,Total_Visitors_2567,Total_Visitors_Change,Thai_Visitors_2568P,Thai_Visitors_2567,Thai_Visitors_Change,Foreign_Visitors_2568P,Foreign_Visitors_2567,Foreign_Visitors_Change,Revenue_2568P,Revenue_2567,Revenue_Change,Revenue_Thai_2568P,Revenue_Thai_2567,Revenue_Thai_Change,Revenue_Foreign_2568P,Revenue_Foreign_2567,Revenue_Foreign_Change
ภาคกลาง+ตว.ตก,กรุงเทพมหานคร,72.15,80.06,-7.91,2660793.0,2877155.0,-7.52,4463222.0,4772088.0,-6.47,2519116.0,2649470.0,-4.92,1944106.0,2122618.0,-8.41,73152.85,78091.58,-6.32,24942.35,26385.77,-5.47,48210.5,51705.81,-6.76
ภาคกลาง+ตว.ตก,กาญจนบุรี,68.73,68.17,0.56,317617.0,311298.0,2.03,1288030.0,1320745.0,-2.48,1257348.0,1288530.0,-2.42,30682.0,32215.0,-4.76,3320.07,3271.9,1.47,3126.8,3108.77,0.58,193.27,163.13,18.48
ภาคกลาง+ตว.ตก,นครปฐม,58.66,55.83,2.83,84683.0,80238.0,5.54,407043.0,361890.0,12.48,400478.0,355054.0,12.79,6565.0,6836.0,-3.96,682.47,635.97,7.31,666.0,617.93,7.78,16.47,18.04,-8.7
ภาคกลาง+ตว.ตก,ประจวบคีรีขันธ์,79.62,78.67,0.95,546826.0,538798.0,1.49,1035627.0,1028380.0,0.7,977410.0,974098.0,0.34,58217.0,54282.0,7.25,4868.14,4520.33,7.69,4201.74,3906.42,7.56,666.4,613.91,8.55
ภาคกลาง+ตว.ตก,เพชรบุรี,74.75,73.59,1.16,345325.0,342143.0,0.93,967142.0,991478.0,-2.45,941610.0,967043.0,-2.63,25532.0,24435.0,4.49,3234.48,3194.14,1.26,2965.26,2949.04,0.55,269.22,245.1,9.84
ภาคกลาง+ตว.ตก,ราชบุรี,62.39,67.73,-5.34,101327.0,106436.0,-4.8,306085.0,327685.0,-6.59,296775.0,316594.0,-6.26,9310.0,11091.0,-16.06,625.16,658.05,-5.0,602.12,632.01,-4.73,23.04,26.04,-11.52
ภาคกลาง+ตว.ตก,สมุทรปราการ,59.45,61.48,-2.03,130939.0,125529.0,4.31,417003.0,418832.0,-0.44,320788.0,325501.0,-1.45,96215.0,93331.0,3.09,859.83,869.86,-1.15,520.51,561.5,-7.3,339.32,308.36,10.04
ภาคกลาง+ตว.ตก,สมุทรสงคราม,58.37,57.81,0.56,62895.0,61704.0,1.93,490620.0,490793.0,-0.04,473853.0,473149.0,0.15,16767.0,17644.0,-4.97,717.58,618.49,16.02,686.21,588.27,16.65,31.37,30.22,3.81
ภาคกลาง+ตว.ตก,สมุทรสาคร,49.75,46.53,3.22,27647.0,27379.0,0.98,149328.0,145103.0,2.91,148062.0,143596.0,3.11,1266.0,1507.0,-15.99,285.18,252.42,12.98,281.95,248.88,13.29,3.23,3.54,-8.76
ภาคกลาง+ตว.ตก,ชัยนาท,51.3,50.72,0.58,24889.0,24038.0,3.54,118387.0,115465.0,2.53,117716.0,114744.0,2.59,671.0,721.0,-6.93,197.33,184.01,7.24,196.14,182.72,7.34,1.19,1.29,-7.75
ภาคกลาง+ตว.ตก,นนทบุรี,56.49,58.86,-2.37,104745.0,102051.0,2.64,362861.0,344733.0,5.26,344373.0,321646.0,7.07,18488.0,23087.0,-19.92,625.3,617.09,1.33,575.76,556.37,3.49,49.54,60.72,-18.41
ภาคกลาง+ตว.ตก,ปทุมธานี,55.23,52.84,2.39,71038.0,66057.0,7.54,269420.0,278387.0,-3.22,240681.0,247946.0,-2.93,28739.0,30441.0,-5.59,445.59,440.59,1.13,373.73,370.99,0.74,71.86,69.6,3.25
